Name,Rentals total,Rentals out,Rentals in,00:00 - 11:00 out,00:00 - 11:00 in,11:00 - 15:00 out,11:00 - 15:00 in,15:00 - 19:00 out,15:00 - 19:00 in,19:00 - 23:59 out,19:00 - 23:59 in,Time low [%],Time full [%],Median bikes
VIRTUAL HUB - ATLANTA BICYCLE COALITION,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - CANDLER PARK ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - BROWNWOOD PARK RECREATION CENTER,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
TWO WHEEL VALET-CARE WALK IN HER SHOES- VIRTUAL HUB,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
BROAD & MITCHELL,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
TECH SQUARE ,14,6,8,0,1,2,2,4,4,0,1,0.0,0.0,9.0
MARTA - KING MEMORIAL ,1,0,1,0,1,0,0,0,0,0,0,0.0,0.0,7.0
OUTWRIGHT STATION,12,6,6,1,0,0,0,5,3,0,3,0.0,0.0,3.0
MARTA - PEACHTREE CENTER ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.0
VIRTUAL HUB - WASHINGTON PARK ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - HYATT HOUSE ATLANTA,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - WASHINGTON PARK LIBRARY ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - GRADUATE LIVING CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
GEORGIA TECH - CLOUGH BUILDING,16,6,10,1,4,1,0,2,2,2,4,0.0,52.64,11.0
MARTA - MIDTOWN  (NORTH),3,2,1,0,1,0,0,2,0,0,0,0.0,0.0,3.0
VIRTUAL HUB - MARIETTA AND BOSS STREET NW ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - EAST ATLANTA VILLAGE,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - COAN PARK RECREATION CENTER ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB- TWO WHEEL VALET/ ATLANTA UNITED,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - KROGER/GLEENWOOD HUB ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
WOODRUFF PARK,2,1,1,0,0,1,0,0,0,0,1,0.0,0.0,5.5
GSU ARTS & HUMANITIES BLDG,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
GSU MARTA,2,0,2,0,2,0,0,0,0,0,0,0.0,0.0,6.0
SWEET AUBURN MARKET,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
NELSON ST BRIDGE,2,0,2,0,0,0,1,0,1,0,0,0.0,0.0,3.5
CITY HALL,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,7.0
VIRTUAL HUB - M. RICH CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
CENTENNIAL OLYMPIC PARK,3,1,2,0,0,0,1,1,1,0,0,0.0,0.0,13.0
FAIRLIE-POPLAR DISTRICT,2,1,1,0,0,0,0,1,0,0,1,0.0,0.0,4.5
PIEDMONT &  AUBURN,1,0,1,0,0,0,1,0,0,0,0,0.0,0.0,9.0
MARTA - NORTH AVE ,2,0,2,0,0,0,0,0,1,0,1,0.0,0.0,4.0
AUC - WOODRUFF LIBRARY,1,1,0,0,0,0,0,1,0,0,0,0.0,0.0,4.0
PIEDMONT PARK & EASTSIDE BELTLINE,16,6,10,0,0,1,0,5,4,0,6,0.0,0.0,5.0
PIEDMONT PARK EAST,11,4,7,0,0,0,0,2,3,2,4,0.0,0.0,8.0
STUDIOPLEX,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
